,series,nameLocKey,instanceName,cores,category,ram,tier,hasPayGo,isInPreview,diskSize,type,hasSpot,isVcpu,isConstrainedCore,isBaseVm,activeCores,productId,nvMeDisk,gpu,fpga,pmem
516,h,h8m,H8m,8,highperformancecompute,112.0,standard,True,False,1000.0,linux,True,False,False,True,,,,,,
517,h,h8,H8,8,highperformancecompute,56.0,standard,True,False,1000.0,linux,True,False,False,True,,,,,,
518,hbv2,hb120-16rs-v2,HB120-16rs v2,120,highperformancecompute,456.0,standard,True,False,900.0,linux,True,False,True,True,16.0,,,,,
519,hbv3,hb120-16rs-v3,HB120-16rs v3,120,highperformancecompute,448.0,standard,True,False,2100.0,linux,True,False,True,True,16.0,,,,,
520,hbv2,hb120-32rs-v2,HB120-32rs v2,120,highperformancecompute,456.0,standard,True,False,900.0,linux,True,False,True,True,32.0,,,,,
521,hbv3,hb120-32rs-v3,HB120-32rs v3,120,highperformancecompute,448.0,standard,True,False,2100.0,linux,True,False,True,True,32.0,,,,,
522,hbv2,hb120-64rs-v2,HB120-64rs v2,120,highperformancecompute,456.0,standard,True,False,900.0,linux,True,False,True,True,64.0,,,,,
523,hbv3,hb120-64rs-v3,HB120-64rs v3,120,highperformancecompute,448.0,standard,True,False,2100.0,linux,True,False,True,True,64.0,,,,,
524,hbv2,hb120-96rs-v2,HB120-96rs v2,120,highperformancecompute,456.0,standard,True,False,900.0,linux,True,False,True,True,96.0,,,,,
525,hbv3,hb120-96rs-v3,HB120-96rs v3,120,highperformancecompute,448.0,standard,True,False,2100.0,linux,True,False,True,True,96.0,,,,,
526,hbv2,hb120rsv2,HB120rs v2,120,highperformancecompute,456.0,standard,True,False,480.0,linux,True,False,False,True,,,,,,
527,hbv3,hb120rsv3,HB120rs v3,120,highperformancecompute,448.0,standard,True,False,2100.0,linux,True,False,False,True,,,,,,
528,hb,hb60-15rs,HB60-15rs,60,highperformancecompute,228.0,standard,True,False,700.0,linux,True,False,True,True,15.0,,,,,
529,hb,hb60-30rs,HB60-30rs,60,highperformancecompute,228.0,standard,True,False,700.0,linux,True,False,True,True,30.0,,,,,
530,hb,hb60-45rs,HB60-45rs,60,highperformancecompute,228.0,standard,True,False,700.0,linux,True,False,True,True,45.0,,,,,
531,hb,hb60rs,HB60rs,60,highperformancecompute,228.0,standard,True,False,700.0,linux,True,False,False,True,,,,,,
532,hc,hc44-16rs,HC44-16rs,44,highperformancecompute,352.0,standard,True,False,700.0,linux,True,False,True,True,16.0,,,,,
533,hc,hc44-32rs,HC44-32rs,44,highperformancecompute,352.0,standard,True,False,700.0,linux,True,False,True,True,32.0,,,,,
534,hc,hc44rs,HC44rs,44,highperformancecompute,352.0,standard,True,False,700.0,linux,True,False,False,True,,,,,,
535,lasv3,l16asv3,L16as v3,16,storageoptimized,128.0,standard,True,False,160.0,linux,True,True,False,True,,,2 x 1.9 TB,,,
536,ls,l16s,L16s,16,storageoptimized,128.0,standard,True,False,2807.0,linux,True,True,False,True,,,,,,
537,lsv2,l16sv2,L16s v2,16,storageoptimized,128.0,standard,True,False,160.0,linux,True,True,False,True,,,2 x 1.9 TB,,,
538,lsv3,l16sv3,L16s v3,16,storageoptimized,128.0,standard,True,False,160.0,linux,True,True,False,True,,,2 x 1.9 TB,,,
539,lasv3,l32asv3,L32as v3,32,storageoptimized,256.0,standard,True,False,320.0,linux,True,True,False,True,,,4 x 1.9 TB,,,
540,ls,l32s,L32s,32,storageoptimized,256.0,standard,True,False,5630.0,linux,True,True,False,True,,,,,,
541,lsv2,l32sv2,L32s v2,32,storageoptimized,256.0,standard,True,False,320.0,linux,True,True,False,True,,,4 x 1.9 TB,,,
542,lsv3,l32sv3,L32s v3,32,storageoptimized,256.0,standard,True,False,320.0,linux,True,True,False,True,,,4 x 1.9 TB,,,
543,lasv3,l48asv3,L48as v3,48,storageoptimized,384.0,standard,True,False,480.0,linux,True,True,False,True,,,6 x 1.9 TB,,,
544,lsv2,l48sv2,L48s v2,48,storageoptimized,384.0,standard,True,False,480.0,linux,True,True,False,True,,,6 x 1.9 TB,,,
545,lsv3,l48sv3,L48s v3,48,storageoptimized,384.0,standard,True,False,480.0,linux,True,True,False,True,,,6 x 1.9 TB,,,
546,ls,l4s,L4s,4,storageoptimized,32.0,standard,True,False,678.0,linux,True,True,False,True,,,,,,
547,lasv3,l64asv3,L64as v3,64,storageoptimized,512.0,standard,True,False,640.0,linux,True,True,False,True,,,8 x 1.9 TB,,,
548,lsv2,l64sv2,L64s v2,64,storageoptimized,512.0,standard,True,False,640.0,linux,True,True,False,True,,,8 x 1.9 TB,,,
549,lsv3,l64sv3,L64s v3,64,storageoptimized,512.0,standard,True,False,640.0,linux,True,True,False,True,,,8 x 1.9 TB,,,
550,lasv3,l80asv3,L80as v3,80,storageoptimized,640.0,standard,True,False,800.0,linux,True,True,False,True,,,10 x 1.9 TB,,,
551,lsv2,l80sv2,L80s v2,80,storageoptimized,640.0,standard,True,False,800.0,linux,True,True,False,True,,,10 x 1.9 TB,,,
552,lsv3,l80sv3,L80s v3,80,storageoptimized,640.0,standard,True,False,800.0,linux,True,True,False,True,,,10 x 1.9 TB,,,
553,lasv3,l8asv3,L8as v3,8,storageoptimized,64.0,standard,True,False,80.0,linux,True,True,False,True,,,1 x 1.9 TB,,,
554,ls,l8s,L8s,8,storageoptimized,64.0,standard,True,False,1388.0,linux,True,True,False,True,,,,,,
555,lsv2,l8sv2,L8s v2,8,storageoptimized,64.0,standard,True,False,80.0,linux,True,True,False,True,,,1 x 1.9 TB,,,
556,lsv3,l8sv3,L8s v3,8,storageoptimized,64.0,standard,True,False,80.0,linux,True,True,False,True,,,1 x 1.9 TB,,,
557,m,m128-32ms,M128-32ms,128,memoryoptimized,3800.0,standard,True,False,4096.0,linux,True,True,True,True,32.0,,,,,
558,m,m128-64ms,M128-64ms,128,memoryoptimized,3800.0,standard,True,False,4096.0,linux,True,True,True,True,64.0,,,,,
559,mdsv2,m128dmsv2,M128dms v2,128,memoryoptimized,3892.0,standard,True,False,4096.0,linux,True,True,False,True,,,,,,
560,mdsv2,m128dsv2,M128ds v2,128,memoryoptimized,2048.0,standard,True,False,4096.0,linux,True,True,False,True,,,,,,
561,m,m128ms,M128ms,128,memoryoptimized,3800.0,standard,True,False,4096.0,linux,True,True,False,True,,,,,,
562,m,m128m,M128m,128,memoryoptimized,3800.0,standard,True,False,14336.0,linux,True,True,False,True,,,,,,
563,msv2,m128msv2,M128ms v2,128,memoryoptimized,3892.0,standard,True,False,0.0,linux,True,True,False,True,,,,,,
564,m,m128s,M128s,128,memoryoptimized,2000.0,standard,True,False,4096.0,linux,True,True,False,True,,,,,,
565,m,m128,M128,128,memoryoptimized,2000.0,standard,True,False,14336.0,linux,True,True,False,True,,,,,,
566,msv2,m128sv2,M128s v2,128,memoryoptimized,2048.0,standard,True,False,0.0,linux,True,True,False,True,,,,,,
567,m,m16-4ms,M16-4ms,16,memoryoptimized,437.5,standard,True,False,256.0,linux,True,True,True,True,4.0,,,,,
568,m,m16-8ms,M16-8ms,16,memoryoptimized,437.5,standard,True,False,256.0,linux,True,True,True,True,8.0,,,,,
569,m,m16ms,M16ms,16,memoryoptimized,437.5,standard,True,False,512.0,linux,True,True,False,True,,,,,,
570,mdsv2,m192idmsv2,M192idms v2,192,memoryoptimized,4096.0,standard,True,False,4096.0,linux,True,True,False,True,,,,,,
571,mdsv2,m192idsv2,M192ids v2,192,memoryoptimized,2048.0,standard,True,False,4096.0,linux,True,True,False,True,,,,,,
572,msv2,m192imsv2,M192ims v2,192,memoryoptimized,4096.0,standard,True,False,0.0,linux,True,True,False,True,,,,,,
573,msv2,m192isv2,M192is v2,192,memoryoptimized,2048.0,standard,True,False,0.0,linux,True,True,False,True,,,,,,
574,mv2,m208msv2,M208ms v2,208,memoryoptimized,5700.0,standard,True,False,4096.0,linux,True,True,False,True,,,,,,
575,mv2,m208sv2,M208s v2,208,memoryoptimized,2850.0,standard,True,False,4096.0,linux,True,True,False,True,,,,,,
576,m,m32-16ms,M32-16ms,32,memoryoptimized,875.0,standard,True,False,1024.0,linux,True,True,True,True,16.0,,,,,
577,m,m32-8ms,M32-8ms,32,memoryoptimized,875.0,standard,True,False,1024.0,linux,True,True,True,True,8.0,,,,,
578,mdsv2,m32dmsv2,M32dms v2,32,memoryoptimized,875.0,standard,True,False,1024.0,linux,True,True,False,True,,,,,,
579,m,m32ls,M32ls,32,memoryoptimized,256.0,standard,True,False,1024.0,linux,True,True,False,True,,,,,,
580,m,m32ms,M32ms,32,memoryoptimized,875.0,standard,True,False,1024.0,linux,True,True,False,True,,,,,,
581,msv2,m32msv2,M32ms v2,32,memoryoptimized,875.0,standard,True,False,0.0,linux,True,True,False,True,,,,,,
582,m,m32ts,M32ts,32,memoryoptimized,192.0,standard,True,False,1024.0,linux,True,True,False,True,,,,,,
583,mv2,m416msv2,M416ms v2,416,memoryoptimized,11400.0,standard,True,False,8192.0,linux,True,True,False,True,,,,,,
584,mv2,m416sv2,M416s v2,416,memoryoptimized,5700.0,standard,True,False,8192.0,linux,True,True,False,True,,,,,,
585,m,m64-16ms,M64-16ms,64,memoryoptimized,1750.0,standard,True,False,2048.0,linux,True,True,True,True,16.0,,,,,
586,m,m64-32ms,M64-32ms,64,memoryoptimized,1750.0,standard,True,False,2048.0,linux,True,True,True,True,32.0,,,,,
587,mdsv2,m64dmsv2,M64dms v2,64,memoryoptimized,1792.0,standard,True,False,2048.0,linux,True,True,False,True,,,,,,
588,mdsv2,m64dsv2,M64ds v2,64,memoryoptimized,1024.0,standard,True,False,2048.0,linux,True,True,False,True,,,,,,
589,m,m64ls,M64ls,64,memoryoptimized,512.0,standard,True,False,2048.0,linux,True,True,False,True,,,,,,
590,m,m64ms,M64ms,64,memoryoptimized,1750.0,standard,True,False,2048.0,linux,True,True,False,True,,,,,,
591,m,m64m,M64m,64,memoryoptimized,1750.0,standard,True,False,7168.0,linux,True,True,False,True,,,,,,
592,msv2,m64msv2,M64ms v2,64,memoryoptimized,1792.0,standard,True,False,0.0,linux,True,True,False,True,,,,,,
593,m,m64s,M64s,64,memoryoptimized,1024.0,standard,True,False,2048.0,linux,True,True,False,True,,,,,,
594,m,m64,M64,64,memoryoptimized,1000.0,standard,True,False,7168.0,linux,True,True,False,True,,,,,,
595,msv2,m64sv2,M64s v2,64,memoryoptimized,1024.0,standard,True,False,0.0,linux,True,True,False,True,,,,,,
596,m,m8-2ms,M8-2ms,8,memoryoptimized,218.75,standard,True,False,256.0,linux,True,True,True,True,2.0,,,,,
597,m,m8-4ms,M8-4ms,8,memoryoptimized,218.75,standard,True,False,256.0,linux,True,True,True,True,4.0,,,,,
598,m,m8ms,M8ms,8,memoryoptimized,218.75,standard,True,False,256.0,linux,True,True,False,True,,,,,,
599,nc,nc12,NC12,12,gpu,112.0,standard,True,False,680.0,linux,True,True,False,True,,,,2X K80,,
600,ncsv2,nc12sv2,NC12s v2,12,gpu,224.0,standard,True,False,1474.0,linux,True,True,False,True,,,,2X P100,,
601,ncsv3,nc12sv3,NC12s v3,12,gpu,224.0,standard,True,False,1474.0,linux,True,True,False,True,,,,2X V100,,
602,nca10v4,nc16adsv4,NC16ads A10 v4,16,gpu,220.0,standard,True,False,1460.0,linux,True,True,False,True,,,,1X A10,,
603,ncast4v3,nc16ast4v3,NC16as T4 v3,16,gpu,110.0,standard,True,False,360.0,linux,True,True,False,True,,,,1X T4,,
604,nca100v4,nc24adsv4,NC24ads A100 v4,24,gpu,220.0,standard,True,False,1123.0,linux,True,False,False,True,,,,1X A100,,
605,nc,nc24r,NC24r,24,gpu,224.0,standard,True,False,1440.0,linux,True,True,False,True,,,,4X K80,,
606,ncsv2,nc24rsv2,NC24rs v2,24,gpu,448.0,standard,True,False,2948.0,linux,True,True,False,True,,,,4X P100,,
607,ncsv3,nc24rsv3,NC24rs v3,24,gpu,448.0,standard,True,False,2948.0,linux,True,True,False,True,,,,4X V100,,
608,nc,nc24,NC24,24,gpu,224.0,standard,True,False,1440.0,linux,True,True,False,True,,,,4X K80,,
609,ncsv2,nc24sv2,NC24s v2,24,gpu,448.0,standard,True,False,2948.0,linux,True,True,False,True,,,,4X P100,,
610,ncsv3,nc24sv3,NC24s v3,24,gpu,448.0,standard,True,False,2948.0,linux,True,True,False,True,,,,4X V100,,
611,nca10v4,nc32adsv4,NC32ads A10 v4,32,gpu,440.0,standard,True,False,2920.0,linux,True,True,False,True,,,,2X A10,,
612,nca100v4,nc48adsv4,NC48ads A100 v4,48,gpu,440.0,standard,True,False,2246.0,linux,True,False,False,True,,,,2X A100,,
613,ncast4v3,nc4ast4v3,NC4as T4 v3,4,gpu,28.0,standard,True,False,180.0,linux,True,True,False,True,,,,1X T4,,
614,ncast4v3,nc64ast4v3,NC64as T4 v3,64,gpu,440.0,standard,True,False,2880.0,linux,True,True,False,True,,,,4X T4,,
615,nc,nc6,NC6,6,gpu,56.0,standard,True,False,340.0,linux,True,True,False,True,,,,1X K80,,
616,ncsv2,nc6sv2,NC6s v2,6,gpu,112.0,standard,True,False,736.0,linux,True,True,False,True,,,,1X P100,,
617,ncsv3,nc6sv3,NC6s v3,6,gpu,112.0,standard,True,False,736.0,linux,True,True,False,True,,,,1X V100,,
618,nca10v4,nc8adsv4,NC8ads A10 v4,8,gpu,110.0,standard,True,False,730.0,linux,True,True,False,True,,,,1/2X A10,,
619,ncast4v3,nc8ast4v3,NC8as T4 v3,8,gpu,56.0,standard,True,False,360.0,linux,True,True,False,True,,,,1X T4,,
620,nca100v4,nc96adsv4,NC96ads A100 v4,96,gpu,880.0,standard,True,False,4492.0,linux,True,False,False,True,,,,4X A100,,
621,nds,nd12s,ND12s,12,gpu,224.0,standard,True,False,1474.0,linux,True,False,False,True,,,,2X P40,,
622,nds,nd24rs,ND24rs,24,gpu,448.0,standard,True,False,2948.0,linux,True,False,False,True,,,,4X P40,,
623,nds,nd24s,ND24s,24,gpu,448.0,standard,True,False,2948.0,linux,True,False,False,True,,,,4X P40,,
624,ndv2,nd40rsv2,ND40rs v2,40,gpu,672.0,standard,True,False,2900.0,linux,True,False,False,True,,,,8X V100 (NVlink),,
625,nds,nd6s,ND6s,6,gpu,112.0,standard,True,False,736.0,linux,True,False,False,True,,,,1X P40,,
626,ndamsrv4,nd96amsr,ND96amsr A100 v4,96,gpu,1900.0,standard,True,False,6400.0,linux,True,False,False,True,,,,8x 80GB A100 (NVlink),,
627,ndasrv4,nd96asr,ND96asr A100 v4,96,gpu,900.0,standard,True,False,6500.0,linux,True,False,False,True,,,,8x A100 (NVlink),,
628,np,np10s,NP10s,10,gpu,168.0,standard,True,False,700.0,linux,True,True,False,True,,,,,1x Xilinx U250,
629,np,np20s,NP20s,20,gpu,336.0,standard,True,False,1400.0,linux,True,True,False,True,,,,,2x Xilinx U250,
630,np,np40s,NP40s,40,gpu,672.0,standard,True,False,2800.0,linux,True,True,False,True,,,,,4x Xilinx U250,
631,nvv5,nv12adsv5,NV12ads A10 v5,12,gpu,110.0,standard,True,False,320.0,linux,True,True,False,True,,,,1/3X A10,,
632,nv,nv12,NV12,12,gpu,112.0,standard,True,False,680.0,linux,True,True,False,True,,,,2X M60,,
633,nvv3,nv12sv3,NV12s v3,12,gpu,112.0,standard,True,False,736.0,linux,True,True,False,True,,,,1X M60,,
634,nvv5,nv18adsv5,NV18ads A10 v5,18,gpu,220.0,standard,True,False,720.0,linux,True,True,False,True,,,,1/2X A10,,
635,nv,nv24,NV24,24,gpu,224.0,standard,True,False,1440.0,linux,True,True,False,True,,,,4X M60,,
636,nvv3,nv24sv3,NV24s v3,24,gpu,224.0,standard,True,False,1474.0,linux,True,True,False,True,,,,2X M60,,
637,nvv5,nv36admsv5,NV36adms A10 v5,36,gpu,880.0,standard,True,False,720.0,linux,True,True,False,True,,,,1X A10,,
638,nvv5,nv36adsv5,NV36ads A10 v5,36,gpu,440.0,standard,True,False,720.0,linux,True,True,False,True,,,,1X A10,,
639,nvv3,nv48sv3,NV48s v3,48,gpu,448.0,standard,True,False,2948.0,linux,True,True,False,True,,,,4X M60,,
640,nvv5,nv6adsv5,NV6adsv5,6,gpu,55.0,standard,True,False,180.0,linux,True,True,False,True,,,,1/6X A10,,
641,nv,nv6,NV6,6,gpu,56.0,standard,True,False,340.0,linux,True,True,False,True,,,,1X M60,,
642,nvv5,nv72adsv5,NV72ads A10 v5,72,gpu,880.0,standard,True,False,1400.0,linux,True,True,False,True,,,,2X A10,,
643,saphana,sap192m,S192m,192,memoryoptimized,4096.0,standard,False,False,16384.0,saphana,False,True,False,False,,,,,,
644,saphana,sap192,S192,192,memoryoptimized,2048.0,standard,False,False,8192.0,saphana,False,True,False,False,,,,,,
645,saphana,sap192xm,S192xm,192,memoryoptimized,6144.0,standard,False,False,16384.0,saphana,False,True,False,False,,,,,,
646,saphanagen2,sap224m,S224m,224,memoryoptimized,6144.0,standard,False,False,10250.0,saphana,False,True,False,False,,,,,,0.0
647,saphanagen2,sap224om,S224om,224,memoryoptimized,3072.0,standard,False,False,10250.0,saphana,False,True,False,False,,,,,,3072.0
648,saphanagen2,sap224oom,S224oom,224,memoryoptimized,3072.0,standard,False,False,14375.0,saphana,False,True,False,False,,,,,,6144.0
649,saphanagen2,sap224ooo,S224ooo,224,memoryoptimized,1536.0,standard,False,False,12312.0,saphana,False,True,False,False,,,,,,6144.0
650,saphanagen2,sap224oo,S224oo,224,memoryoptimized,1536.0,standard,False,False,8187.0,saphana,False,True,False,False,,,,,,3072.0
651,saphanagen2,sap224,S224,224,memoryoptimized,3072.0,standard,False,False,6125.0,saphana,False,True,False,False,,,,,,0.0
652,saphanagen2,sap32m,S32m,32,memoryoptimized,1536.0,standard,False,False,0.0,saphana,False,True,False,False,,,,,,0.0
653,saphana,sap384m,S384m,384,memoryoptimized,6144.0,standard,False,False,18432.0,saphana,False,True,False,False,,,,,,
654,saphana,sap384,S384,384,memoryoptimized,4096.0,standard,False,False,16384.0,saphana,False,True,False,False,,,,,,
655,saphana,sap384xm,S384xm,384,memoryoptimized,8192.0,standard,False,False,22528.0,saphana,False,True,False,False,,,,,,
656,saphana,sap384xxm,S384xxm,384,memoryoptimized,12000.0,standard,False,False,28250.0,saphana,False,True,False,False,,,,,,
657,saphanagen2,sap448m,S448m,448,memoryoptimized,12288.0,standard,False,False,18500.0,saphana,False,True,False,False,,,,,,0.0
658,saphanagen2,sap448om,S448om,448,memoryoptimized,6144.0,standard,False,False,18500.0,saphana,False,True,False,False,,,,,,6144.0
659,saphanagen2,sap448oom,S448oom,448,memoryoptimized,6144.0,standard,False,False,26750.0,saphana,False,True,False,False,,,,,,12288.0
660,saphanagen2,sap448ooo,S448ooo,448,memoryoptimized,3840.0,standard,False,False,22625.0,saphana,False,True,False,False,,,,,,11520.0
661,saphanagen2,sap448oo,S448oo,448,memoryoptimized,3072.0,standard,False,False,14375.0,saphana,False,True,False,False,,,,,,6144.0
662,saphanagen2,sap448,S448,448,memoryoptimized,6144.0,standard,False,False,10250.0,saphana,False,True,False,False,,,,,,0.0
663,saphana,sap576m,S576m,576,memoryoptimized,12000.0,standard,False,False,28250.0,saphana,False,True,False,False,,,,,,
664,saphanagen2,sap64m,S64m,64,memoryoptimized,3072.0,standard,False,False,0.0,saphana,False,True,False,False,,,,,,0.0
665,saphanagen2,sap672m,S672m,672,memoryoptimized,18432.0,standard,False,False,26750.0,saphana,False,True,False,False,,,,,,0.0
666,saphanagen2,sap672om,S672om,672,memoryoptimized,9216.0,standard,False,False,26750.0,saphana,False,True,False,False,,,,,,9216.0
667,saphanagen2,sap672oom,S672oom,672,memoryoptimized,9216.0,standard,False,False,39125.0,saphana,False,True,False,False,,,,,,18432.0
668,saphanagen2,sap672ooo,S672ooo,672,memoryoptimized,5760.0,standard,False,False,32938.0,saphana,False,True,False,False,,,,,,17280.0
669,saphanagen2,sap672oo,S672oo,672,memoryoptimized,4608.0,standard,False,False,20563.0,saphana,False,True,False,False,,,,,,9216.0
670,saphanagen2,sap672,S672,672,memoryoptimized,9216.0,standard,False,False,14375.0,saphana,False,True,False,False,,,,,,0.0
671,saphanagen2,sap896m,S896m,896,memoryoptimized,24576.0,standard,False,False,35000.0,saphana,False,True,False,False,,,,,,0.0
672,saphanagen2,sap896om,S896om,896,memoryoptimized,12288.0,standard,False,False,35000.0,saphana,False,True,False,False,,,,,,12288.0
673,saphanagen2,sap896oom,S896oom,896,memoryoptimized,12288.0,standard,False,False,51500.0,saphana,False,True,False,False,,,,,,24576.0
674,saphanagen2,sap896ooo,S896ooo,896,memoryoptimized,7680.0,standard,False,False,43250.0,saphana,False,True,False,False,,,,,,23040.0
675,saphanagen2,sap896oo,S896oo,896,memoryoptimized,6144.0,standard,False,False,26750.0,saphana,False,True,False,False,,,,,,12288.0
676,saphanagen2,sap896,S896,896,memoryoptimized,12288.0,standard,False,False,18500.0,saphana,False,True,False,False,,,,,,0.0
677,saphana,sap96,S96,96,memoryoptimized,768.0,standard,False,False,3072.0,saphana,False,True,False,False,,,,,,
